,Location,Prices,Xususiy biznes,Turar joyi,Xonalar,Umumiy maydoni,Etaj,Max etaj,Mebel,Televizor,Shifoxona,Bolalar bogchasi,Kongilochar joy,Yashil maydon,Avtoturargoh,Maktab,HovliDom
157,2,39500.0,Бизнес,Вторичный рынок,2,60.0,9,9,0,0,1,1,1,1,1,1,0
158,1,56000.0,Бизнес,Вторичный рынок,3,307.0,1,9,0,0,1,1,1,1,1,1,0
159,2,32500.0,Бизнес,Вторичный рынок,1,50.0,9,9,0,0,1,1,1,1,1,1,0
160,2,100000.0,Бизнес,Вторичный рынок,4,140.0,1,4,0,0,1,1,1,1,1,1,0
161,1,56500.0,Бизнес,Вторичный рынок,4,87.0,3,5,0,0,1,1,1,1,1,1,0
162,2,45000.0,Бизнес,Вторичный рынок,3,72.0,4,4,0,0,1,1,1,1,1,1,0
163,2,60000.0,Бизнес,Вторичный рынок,3,72.0,1,4,0,0,1,1,1,1,1,1,0
164,1,33500.0,Бизнес,Новостройки,3,35.0,5,7,1,1,1,1,1,1,1,1,0
165,1,67500.0,Бизнес,Вторичный рынок,3,75.0,1,9,0,0,1,1,1,1,1,1,0
166,2,31000.0,Бизнес,Вторичный рынок,1,42.0,2,5,0,0,1,1,1,1,1,1,0
167,0,30500.0,Бизнес,Вторичный рынок,1,30.0,2,4,0,0,1,1,1,1,1,1,0
168,1,66000.0,Бизнес,Вторичный рынок,2,60.0,4,4,1,1,1,1,1,1,1,1,0
169,2,90000.0,Бизнес,Новостройки,2,69.0,2,7,0,0,0,0,0,0,0,0,0
170,1,39500.0,Бизнес,Вторичный рынок,2,42.0,2,5,1,0,0,0,0,0,0,0,0
171,1,75000.0,Бизнес,Вторичный рынок,5,98.0,4,4,0,0,0,0,0,0,0,0,0
172,0,45500.0,Бизнес,Вторичный рынок,2,67.0,4,9,1,1,1,1,1,1,1,1,0
173,1,75000.0,Бизнес,Вторичный рынок,3,70.0,5,9,1,0,0,0,0,0,0,0,0
174,1,81000.0,Бизнес,Вторичный рынок,3,70.0,3,4,0,0,1,1,1,1,1,1,0
175,1,70000.0,Бизнес,Вторичный рынок,3,80.0,5,18,0,0,0,0,0,0,0,0,0
176,1,59000.0,Бизнес,Новостройки,3,105.0,4,7,0,0,1,1,1,1,1,1,0
177,0,35000.0,Бизнес,Вторичный рынок,1,30.0,1,4,0,0,0,0,0,0,0,0,0
178,0,40000.0,Бизнес,Вторичный рынок,2,45.0,3,4,0,0,1,1,1,1,1,1,0
179,1,45000.0,Бизнес,Вторичный рынок,3,74.0,8,9,1,0,1,1,1,1,1,1,0
180,2,66000.0,Бизнес,Вторичный рынок,3,70.0,2,9,0,0,1,1,1,1,1,1,0
181,0,41000.0,Бизнес,Вторичный рынок,2,50.0,3,4,1,1,1,1,1,1,1,1,0
182,2,87000.0,Бизнес,Вторичный рынок,2,60.0,2,4,0,0,1,1,1,1,1,1,0
183,0,35500.0,Бизнес,Вторичный рынок,2,50.0,4,4,0,0,1,1,1,1,1,1,0
184,2,120000.0,Бизнес,Вторичный рынок,3,100.0,8,9,1,0,1,1,1,1,1,1,0
185,0,51000.0,Бизнес,Вторичный рынок,3,65.0,2,4,1,1,1,1,1,1,1,1,0
186,0,54000.0,Бизнес,Вторичный рынок,3,70.0,3,4,0,0,1,1,1,1,1,1,0
187,0,41500.0,Бизнес,Вторичный рынок,2,50.0,2,4,0,0,1,1,1,1,1,1,0
188,0,66000.0,Бизнес,Новостройки,2,70.0,9,9,0,0,1,1,1,1,1,1,0
189,0,45000.0,Бизнес,Вторичный рынок,3,75.0,9,9,0,0,1,1,1,1,1,1,0
190,0,41000.0,Бизнес,Вторичный рынок,3,60.0,4,4,0,0,1,1,1,1,1,1,0
191,1,34200.0,Бизнес,Вторичный рынок,1,38.0,2,5,0,0,1,1,1,1,1,1,0
192,2,75000.0,Бизнес,Вторичный рынок,3,75.0,4,9,1,1,1,1,1,1,1,1,0
193,0,44000.0,Бизнес,Вторичный рынок,2,45.0,2,4,1,1,1,1,1,1,1,1,0
194,0,58000.0,Бизнес,Вторичный рынок,3,95.0,3,4,0,0,1,1,1,1,1,1,0
195,1,65000.0,Частное лицо,Вторичный рынок,2,70.37,7,9,0,1,0,0,0,0,0,0,0
196,0,56000.0,Бизнес,Вторичный рынок,3,95.0,2,4,0,0,1,1,1,1,1,1,0
197,0,33500.0,Бизнес,Вторичный рынок,1,45.0,2,4,0,0,1,1,1,1,1,1,0
198,2,75000.0,Бизнес,Вторичный рынок,3,75.0,3,6,1,0,1,1,1,1,1,1,0
199,0,54000.0,Бизнес,Вторичный рынок,3,75.0,9,9,0,0,1,1,1,1,1,1,0
200,0,46000.0,Бизнес,Вторичный рынок,3,70.0,1,4,0,0,1,1,1,1,1,1,0
201,2,78000.0,Бизнес,Вторичный рынок,3,72.0,4,9,1,0,1,1,1,1,1,1,0
202,1,53000.0,Бизнес,Вторичный рынок,2,54.0,4,4,0,0,1,1,1,1,1,1,0
203,1,45000.0,Бизнес,Вторичный рынок,2,42.14,2,4,0,0,1,1,1,1,1,1,0
204,0,35500.0,Бизнес,Вторичный рынок,2,46.0,4,4,0,0,1,1,1,1,1,1,0
205,0,35500.0,Бизнес,Вторичный рынок,2,48.0,4,4,0,0,1,1,1,1,1,1,0
206,1,109500.0,Бизнес,Вторичный рынок,3,85.0,4,4,1,1,1,1,1,1,1,1,0
207,1,98000.0,Бизнес,Новостройки,4,107.0,5,8,1,1,1,1,1,1,1,1,0
208,2,61500.0,Бизнес,Вторичный рынок,2,65.0,5,9,0,0,1,1,1,1,1,1,0
209,0,35777.0,Бизнес,Вторичный рынок,2,50.0,4,4,0,0,0,0,0,0,0,0,0
210,2,85000.0,Бизнес,Вторичный рынок,3,85.23,3,4,1,0,1,1,1,1,1,1,0
211,1,65000.0,Бизнес,Вторичный рынок,1,50.0,3,4,1,0,1,1,0,0,0,1,0
212,2,75000.0,Бизнес,Вторичный рынок,3,75.0,4,9,1,1,1,1,1,1,1,1,0
213,1,63000.0,Бизнес,Вторичный рынок,3,65.0,8,9,1,1,1,1,1,1,1,1,0
214,2,60000.0,Бизнес,Вторичный рынок,2,65.0,3,5,0,0,1,1,1,1,0,0,0
215,0,28000.0,Бизнес,Вторичный рынок,1,28.0,1,4,0,0,1,1,1,1,1,1,0
216,1,23600.0,Бизнес,Новостройки,1,32.0,1,7,0,0,1,1,1,1,1,1,0
217,1,27000.0,Бизнес,Вторичный рынок,1,42.0,9,9,0,0,1,1,1,1,1,1,0
218,0,28700.0,Бизнес,Вторичный рынок,1,4.0,4,4,1,1,0,0,0,0,0,0,0
219,1,90000.0,Бизнес,Новостройки,3,120.0,2,10,0,0,1,1,1,1,1,1,0
220,1,48000.0,Бизнес,Вторичный рынок,3,70.0,3,4,0,1,1,1,1,1,1,1,0
221,2,95000.0,Бизнес,Вторичный рынок,4,100.0,5,9,1,1,1,1,1,1,1,1,0
222,0,38000.0,Бизнес,Вторичный рынок,2,50.0,3,4,0,0,1,1,1,1,1,1,0
223,1,115000.0,Бизнес,Вторичный рынок,4,110.0,3,4,0,0,1,1,1,1,1,1,0
224,1,53700.0,Частное лицо,Вторичный рынок,3,72.0,3,9,1,0,0,0,0,0,0,0,0
225,1,50000.0,Частное лицо,Вторичный рынок,4,99.0,6,9,1,0,0,1,0,0,0,1,0
