Location,Prices,Xususiy biznes,Turar joyi,Xonalar,Umumiy maydoni,Etaj,Max etaj,Mebel,Televizor,Shifoxona,Bolalar bogchasi,Kongilochar joy,Yashil maydon,Avtoturargoh,Maktab,HovliDom
0,32500.0,Бизнес,Вторичный рынок,1,33.0,3,4,0,0,1,1,1,1,1,1,0
2,165000.0,Бизнес,Новостройки,3,103.0,5,8,1,1,1,1,1,1,1,1,0
0,40000.0,Бизнес,Вторичный рынок,2,45.0,3,4,0,0,1,1,1,1,1,1,0
2,115500.0,Бизнес,Новостройки,4,128.0,1,8,0,0,1,1,1,1,1,1,0
0,44000.0,Бизнес,Вторичный рынок,2,45.0,3,5,1,1,1,1,1,1,1,1,0
0,46000.0,Бизнес,Вторичный рынок,2,52.0,4,4,0,0,1,1,1,1,1,1,0
0,45500.0,Бизнес,Вторичный рынок,2,50.0,1,5,1,1,1,1,1,1,1,1,0
0,44500.0,Бизнес,Вторичный рынок,2,47.0,2,4,0,0,1,1,1,1,1,1,0
1,85000.0,Бизнес,Новостройки,3,75.0,4,8,1,1,1,1,1,1,1,1,0
2,105000.0,Бизнес,Новостройки,4,138.0,3,16,1,0,1,1,1,1,1,1,0
0,58000.0,Бизнес,Вторичный рынок,2,56.0,2,4,1,1,1,1,1,1,1,1,0
2,67000.0,Бизнес,Вторичный рынок,3,98.0,9,16,1,1,1,1,1,1,1,1,0
1,53000.0,Бизнес,Вторичный рынок,2,55.0,4,4,1,0,1,1,1,1,1,1,0
1,40500.0,Бизнес,Вторичный рынок,2,55.0,2,4,0,0,1,1,1,1,1,1,0
0,70000.0,Бизнес,Вторичный рынок,2,50.0,3,4,1,0,0,1,1,1,1,1,0
0,42500.0,Бизнес,Вторичный рынок,2,50.0,2,4,0,0,1,1,1,1,1,1,0
0,28800.0,Бизнес,Вторичный рынок,1,32.0,4,4,0,0,1,1,1,1,1,1,0
1,90000.0,Бизнес,Новостройки,4,130.0,1,4,0,0,1,1,1,1,1,1,0
2,40500.0,Бизнес,Новостройки,2,55.0,9,10,0,0,1,1,1,1,1,1,0
0,36500.0,Бизнес,Вторичный рынок,2,50.0,4,4,1,1,1,1,1,1,1,1,0
1,67500.0,Бизнес,Вторичный рынок,4,93.0,1,4,0,0,1,1,1,0,1,1,0
0,43200.0,Бизнес,Вторичный рынок,2,55.0,2,4,0,0,1,1,1,1,1,1,0
1,58000.0,Бизнес,Вторичный рынок,3,80.0,3,5,1,0,1,1,1,0,1,0,0
1,50999.0,Частное лицо,Вторичный рынок,4,102.0,2,9,0,0,1,1,0,0,1,1,0
0,38000.0,Бизнес,Вторичный рынок,2,47.0,3,4,0,0,1,1,1,1,1,1,0
0,47000.0,Бизнес,Вторичный рынок,2,56.0,5,9,1,0,1,1,1,1,1,1,0
1,34500.0,Бизнес,Вторичный рынок,2,48.0,4,4,0,1,1,1,1,1,1,1,0
1,78000.0,Частное лицо,Новостройки,3,82.0,5,9,1,1,1,1,1,1,1,1,0
1,44000.0,Бизнес,Вторичный рынок,4,92.0,5,5,0,0,1,1,1,1,1,1,0
1,65000.0,Бизнес,Вторичный рынок,2,80.0,3,4,1,0,0,0,0,0,0,0,0
2,103500.0,Бизнес,Новостройки,3,115.0,1,8,0,0,1,1,1,1,1,1,0
2,68000.0,Бизнес,Вторичный рынок,2,75.0,5,12,1,1,1,1,1,1,1,1,0
1,29000.0,Бизнес,Вторичный рынок,1,40.0,1,4,0,0,1,1,1,1,1,1,0
0,41500.0,Бизнес,Вторичный рынок,2,52.0,4,4,0,0,1,1,1,1,1,1,0
